Day,Meal,Recipe,Ingredients,Calories,Carbs_g,Sugar_g,Protein_g,Post_Meal_Exercise,Daily_Evening_Workout
Day 5,Dinner,boston salt cod  potato  and onion casserole,"['salt cod fish', 'butter', 'onion', 'garlic clove', 'all-purpose flour', 'chicken broth', 'half-and-half', 'black pepper', 'olive oil', 'idaho potatoes', 'parmesan cheese']",648.6,49.5,5.0,49.5,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 6,Breakfast,rolled chicken n dumplins,"['chicken', 'shortening', 'water', 'salt & pepper', 'chicken bouillon cubes', 'flour', 'baking powder', 'egg', 'salt', 'bacon grease', 'milk']",609.3,44.0,1.0,34.0,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 6,Lunch,fish and chips alton brown,"['flour', 'baking powder', 'kosher salt', 'cayenne pepper', 'old bay seasoning', 'beer', 'tilapia fillets', 'cornstarch']",431.4,46.8,0.0,41.0,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 6,Dinner,cactus chicken fried steak,"['steaks', 'eggs', 'water', 'unbleached flour', 'vegetable oil', 'milk', 'instant chicken bouillon', 'jalapeno seasoning salt']",575.9,33.0,0.0,60.5,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 7,Breakfast,linda s new england fried clams,"['clams', 'vegetable oil', 'eggs', 'evaporated milk', 'salt', 'cornflour', 'lemon wedge', 'tartar sauce', 'ketchup']",674.5,41.2,0.5,69.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 7,Lunch,salmon and couscous,"['salt', 'couscous', 'panko breadcrumbs', 'dill', 'salmon fillets', 'pepper', 'dijon mustard', 'baby spinach', 'chicken broth']",591.2,33.0,0.5,72.0,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 7,Dinner,guilty chicken shnitzels,"['chicken breast halves', 'mayonnaise', 'soy sauce', 'curry powder', 'flour', 'baking powder', 'salt', 'pepper', 'cumin', 'sesame seeds', 'paprika', 'oil']",556.4,46.8,2.5,37.5,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 8,Breakfast,spirals with chicken artichoke wine sauce,"['whole wheat spiral pasta', 'olive oil', 'chicken breast tenders', 'garlic cloves', 'white wine', 'salt', 'fresh ground black pepper', 'artichokes', 'parmigiano-reggiano cheese', 'fresh basil']",478.4,52.2,0.0,41.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 8,Lunch,tuna spaghetti for one or two,"['whole wheat spaghetti', ""i can't believe it's not butter fat free"", 'garlic salt', 'onion powder', 'italian seasoning', 'parmesan cheese', 'black pepper', 'tuna in water', 'mozzarella cheese', 'frozen peas']",546.0,44.0,3.5,59.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 8,Dinner,crock pot golden mushroom roast,"['fresh mushrooms', 'potatoes', 'golden cream of mushroom soup', 'onion soup mix', 'beef roast', 'salt', 'cracked black pepper']",584.8,41.2,6.0,72.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 9,Breakfast,turkey swedish meatballs,"['ground turkey breast', 'egg', 'breadcrumbs', 'garlic powder', 'onion powder', 'salt', 'pepper', 'brown gravy mix', 'egg noodles']",480.8,41.2,3.0,53.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 9,Lunch,homemade ricotta cheese  crock pot,"['milk', 'white vinegar']",630.9,41.2,0.0,32.0,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 9,Dinner,chipotle chicken casserole,"['nonstick cooking spray', 'frozen whole kernel corn', 'frozen cubed hash brown potatoes', 'diced tomatoes with basil oregano and garlic', 'chipotle chiles in adobo', 'chili powder', 'ground cumin', 'dried oregano', 'olive oil', 'boneless skinless chicken breast halves', 'colby-monterey jack cheese']",515.7,55.0,0.0,37.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 10,Breakfast,canned tuna donburi,"['light chunk tuna in water', 'eggs', 'sugar', 'shoyu', 'vegetable oil', 'onions', 'kamaboko', 'nori goma furikake', 'salt and pepper', 'cooked white rice']",571.4,49.5,2.5,57.0,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 10,Lunch,broccoli rice and chicken,"['chicken tenders', 'converted rice', 'cream of broccoli soup mix', 'chicken broth', 'pepper']",482.7,41.2,0.5,58.5,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 10,Dinner,tuscan halibut for two,"['great northern beans', 'tomatoes', 'pesto sauce', 'halibut steaks', 'lemon juice', 'lemon pepper', 'lemon slices', 'aluminum foil']",659.0,33.0,3.5,99.0,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 11,Breakfast,perfect fish   chips,"['sole fillets', 'lemon juice', 'white pepper', 'egg white', 'salt', 'flour', 'oil', 'active dry yeast', 'water', 'beer', 'sugar']",542.6,46.8,0.5,52.0,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 11,Lunch,creamy cajun chicken with pasta,"['fresh garlic clove', 'butter', 'boneless skinless chicken breasts', 'salt', 'thyme', 'onion powder', 'black pepper', 'white pepper', 'red pepper', 'rubbed sage', 'green onion', 'whipping cream', 'thin spaghetti', 'fresh parsley', 'parmesan cheese']",653.5,55.0,0.5,36.5,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 11,Dinner,fontina topped chicken cutlets with couscous,"['olive oil', 'garlic clove', 'baby spinach', 'italian seasoning', 'roasted red peppers', 'boneless skinless chicken breast halves', 'fontina cheese', 'couscous', 'chicken broth']",637.0,55.0,2.0,51.5,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 12,Breakfast,salmon and scalloped potatoes,"['salmon fillets', 'potatoes', 'onions', 'dill', 'salt', 'fresh ground black pepper', 'eggs', 'milk', 'butter', 'breadcrumbs', 'parsley']",641.2,52.2,10.0,50.5,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 12,Lunch,cheddar chicken spaghetti,"['spaghetti', 'cooked chicken', 'sharp cheddar cheese', 'condensed cream of chicken soup', 'milk', 'parsley flakes', 'salt', 'pepper']",661.9,46.8,3.0,42.5,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 12,Dinner,curried chicken with chutney and couscous,"['curry powder', 'coarse salt', 'chicken', 'olive oil', 'chutney', 'chicken broth', 'couscous', 'fresh mint leaves']",597.1,41.2,0.5,37.0,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 13,Breakfast,wisconsin beer batter for fish,"['beer', 'egg', 'pancake mix', 'fish fillet', 'oil']",478.0,44.0,0.0,43.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 13,Lunch,cornish hens with rice pilaf,"['cornish hens', 'brandy', 'poultry seasoning', 'salt and pepper', 'olive oil', 'onion', 'garlic clove', 'chicken broth', 'uncooked rice', 'bay leaf', 'dried thyme', 'fresh tomato', 'frozen green beans']",680.4,41.2,5.5,75.0,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 13,Dinner,lime garlic beef and pepper stir fry,"['beef roast', 'celery', 'green pepper', 'onion', 'fresh mushrooms', 'garlic powder', 'onion powder', 'soy sauce', 'water', 'lime juice', 'cooked white rice']",417.7,41.2,4.0,42.0,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 14,Breakfast,supper on a breadstick,"['french bread', 'evaporated milk', 'hamburger', 'cracker crumb', 'egg', 'onion', 'prepared mustard', 'salt', 'accent seasoning', 'pepper', 'cheddar cheese']",669.3,46.8,2.0,43.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 14,Lunch,spicy pasta and shrimp,"['shrimp', 'chicken broth', 'onion', 'red pepper flakes', 'tomatoes and green chilies', 'dill', 'clam juice', 'white wine', 'garlic', 'salt and pepper', 'olive oil', 'thin spaghetti', 'parmesan cheese']",475.6,49.5,2.5,40.5,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 14,Dinner,moui nagden rice in beef stew,"['beef stew meat', 'curry powder', 'white pepper', 'salt', 'red pepper', 'bay leaf', 'vegetable oil', 'onion', 'tomatoes', 'bell pepper', 'red kidney beans', 'water', 'rice']",643.8,38.5,3.5,53.0,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 15,Breakfast,scallops and edamame pasta,"['pasta', 'egg', 'water', 'whole wheat flour', 'paprika', 'black pepper', 'seasoning salt', 'fresh sea scallops', 'fresh mushrooms', 'chicken broth', 'garlic cloves', 'red wine vinegar', 'soy sauce', 'frozen edamame']",414.7,46.8,2.5,33.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 15,Lunch,boston battered fried fish,"['tilapia fillet', 'all-purpose flour', 'cornflour', 'celery salt', 'sea salt', 'ground black pepper', 'fennel seed', 'onion powder', 'turmeric', 'baking powder', 'paprika', 'water', 'cider vinegar', 'canola oil']",483.4,49.5,0.5,52.5,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 15,Dinner,mushroom beef and noodles,"['condensed golden mushroom soup', 'beefy mushroom soup', 'condensed french onion soup', 'seasoned bread crumbs', 'beef stew meat', 'wide egg noodles']",513.6,46.8,6.5,46.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 16,Breakfast,parmesan potato crusted chicken with orzo caprese salad,"['boneless skinless chicken breast halves', 'instant potato flakes', 'parmesan cheese', 'garlic powder', 'dried oregano', 'salt', 'pepper', 'eggs', 'cooking oil', 'orzo pasta', 'fresh mozzarella cheese', 'sun-dried tomato packed in oil', 'basil', 'garlic', 'tomatoes']",601.9,46.8,7.0,48.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 16,Lunch,even easier chicken broccoli  or spinach alfredo,"['alfredo sauce', 'half & half light cream', 'fresh garlic cloves', 'olive oil', 'cooked chicken breast', 'parmesan cheese', 'cooked penne', 'fresh broccoli florets', 'salt', 'fresh coarse ground black pepper']",644.8,38.5,0.5,54.0,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 16,Dinner,di s thai chicken pasta,"['angel hair pasta', 'cooked chicken', 'unsweetened coconut milk', 'thai seasoning', 'roasted peanuts', 'fresh cilantro']",672.4,44.0,3.0,39.0,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 17,Breakfast,chicken and ramen noodles,"['ramen noodles', 'boneless skinless chicken breast', 'hard-boiled egg', 'green onion', 'soy sauce', 'pepper']",592.5,52.2,1.5,40.5,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 17,Lunch,chicken broccoli pesto,"['chicken breasts', 'head of broccoli', 'fusilli', 'pesto sauce', 'heavy cream', 'salt and pepper']",563.9,46.8,7.0,42.0,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 17,Dinner,campbells cheesy chicken   rice casserole,"[""campbell's cream of chicken soup"", 'water', 'long-grain white rice', 'frozen mixed vegetables', 'onion powder', 'boneless skinless chicken breast halves', 'cheddar cheese']",467.2,44.0,0.0,36.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 18,Breakfast,chicken explosion,"['boneless skinless chicken breast', 'egg whites', 'italian seasoned breadcrumbs', 'angel hair pasta', 'broccoli floret', 'parmesan cheese', ""i can't believe it's not butter spread"", 'italian salad dressing mix', 'garlic pepper seasoning']",537.7,52.2,5.0,48.0,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 18,Lunch,something different chicken,"['water', 'couscous', 'butter', 'flour', 'seasoning salt', 'chicken cutlet', 'capers', 'lemon, juice of']",575.7,44.0,0.0,43.0,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 18,Dinner,pork chop  onion  and rice casserole,"['pork chops', 'oil', 'dry onion soup mix', 'frozen mixed vegetables', 'uncooked rice', 'beef broth']",646.9,46.8,0.5,48.0,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 19,Breakfast,herbed  chicken  fingers,"['chicken breasts', 'pancake mix', 'salt', 'dry mustard', 'thyme', 'tarragon', 'sage', 'milk', 'hot pepper sauce', 'vegetable oil']",548.9,44.0,0.0,39.5,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 19,Lunch,salmon fillets with dill couscous and spicy kale,"['olive oil', 'red onion', 'kale', 'crushed red pepper flakes', 'salt & freshly ground black pepper', 'nutmeg', 'chicken stock', 'radishes', 'lemon', 'salmon fillets', 'old bay seasoning', 'butter', 'couscous', 'fresh dill', 'english cucumber']",680.1,52.2,7.5,58.0,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 19,Dinner,marlboro country chicken fried steak  country fried,"['round steaks', 'evaporated milk', 'tabasco jalapeno sauce', 'salt', 'all-purpose flour', 'paprika', 'garlic powder', 'cracked pepper', 'vegetable oil', 'flour', 'milk', 'salt and pepper']",688.8,35.8,0.0,56.0,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 20,Breakfast,captain d s batter dipped fish,"['pollock fillets', 'flour', 'dry yeast', 'egg', 'beer', 'hot water', 'salt', 'black pepper', 'cayenne pepper']",430.8,35.8,0.0,51.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 20,Lunch,chicken fettuccine with ricotta   basil,"['boneless skinless chicken breasts', 'fresh fettuccine', 'butter', 'ricotta cheese', 'parmesan cheese', 'tomatoes', 'fresh basil leaf']",671.0,44.0,2.5,56.5,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 20,Dinner,pork chops over parmesan rice with peas,"['boneless pork chops', 'salt and pepper', 'flour', 'vegetable oil', 'long grain rice', 'chicken broth', 'water', 'minced garlic cloves', 'salt', 'dried thyme', 'frozen peas', 'parmesan cheese', 'black pepper']",642.9,49.5,8.0,54.5,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 21,Breakfast,beef macaroni pizza,"['lean ground beef', 'seasoning salt', 'black pepper', 'egg', 'soft breadcrumbs', 'meatless sauce', 'elbow macaroni', 'salt', 'celery', 'parsley', 'sharp cheddar cheese', 'parmesan cheese', 'green pepper ring', 'oil']",588.1,41.2,3.5,41.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 21,Lunch,crunchy batter fried fish  no beer,"['cod', 'all-purpose flour', 'cornstarch', 'baking powder', 'club soda', 'salt', 'oil']",389.6,38.5,0.0,44.0,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 21,Dinner,curried chicken and chickpeas,"['cooking spray', 'salt', 'garlic', 'chicken breast tenders', 'curry powder', 'plum tomato', 'reduced-sodium fat-free chicken broth', 'hot chili sauce', 'chickpeas', 'water', 'olive oil', 'couscous', 'fresh spinach', 'lemon wedges']",422.0,49.5,3.0,36.0,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 22,Breakfast,crispy tilapia,"['tilapia fillets', 'flour', 'egg', 'buttermilk', 'yellow cornmeal', 'salt', 'pepper', 'baking soda', 'baking powder', 'old bay seasoning', 'canola oil']",507.3,30.2,3.0,74.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 22,Lunch,cheesy crock pot chicken with rice,"['rotel tomatoes & chilies', 'cream of chicken soup', 'water', 'chicken bouillon cube', 'salt', 'garlic powder', 'black pepper', 'onion powder', 'boneless skinless chicken breasts', 'low-fat sour cream', 'ricotta cheese', 'monterey jack cheese', 'instant rice']",562.1,44.0,2.0,38.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 22,Dinner,chicken alfredo bake,"['boneless skinless chicken breasts', 'penne pasta', 'frozen broccoli', 'mozzarella cheese', 'alfredo sauce', 'salt and pepper']",504.9,49.5,1.5,40.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 23,Breakfast,beefy green bean and walnut stir fry,"['vegetable oil', 'garlic cloves', 'lean ground beef', 'frozen cut green beans', 'salt', 'walnut pieces', 'egg noodles']",564.9,46.8,2.5,35.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 23,Lunch,skillet chicken  broccoli  ziti  and asiago cheese,"['vegetable oil', 'boneless chicken breasts', 'salt & fresh ground pepper', 'onions', 'garlic cloves', 'dried oregano', 'red pepper flakes', 'ziti pasta', 'water', 'low sodium chicken broth', 'broccoli florets', 'heavy cream', 'asiago cheese', 'fresh lemon juice']",681.4,46.8,5.5,43.5,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 23,Dinner,french dip sandwiches,"['roast', 'onion soup mix', 'beer', 'hoagie rolls', 'onion', 'green pepper', 'mozzarella cheese']",659.1,35.8,2.5,79.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 24,Breakfast,kabbilow  cod and horseradish,"['cod fish fillets', 'horseradish', 'parsley', 'potatoes', 'hard-boiled egg', 'paprika', 'flour', 'milk', 'unsalted butter', 'salt and pepper']",483.8,46.8,4.0,39.0,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 24,Lunch,restaurant style fried catfish,"['catfish fillets', 'salt', 'milk', 'yellow cornmeal', 'seasoning salt', 'ground black pepper', 'cayenne pepper', 'onion powder', 'garlic powder', 'peanut oil', 'lemon wedge', 'tartar sauce']",645.3,49.5,1.0,47.0,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 24,Dinner,healthy citrus baked salmon,"['brown rice', 'lemons', 'oranges', 'salmon fillets', 'fresh dill', 'sun-dried tomato packed in oil', 'oil', 'dry white wine']",599.8,35.8,1.5,67.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 25,Breakfast,imperial fondue,"['boneless skinless chicken', 'white fish fillet', 'large shrimp', 'chinese cabbage', 'fresh spinach', 'carrot', 'fresh mushrooms', 'scallions', 'firm tofu', 'eggs', 'udon noodles', 'steamed rice', 'dashi', 'soy sauce', 'sake', 'gingerroot']",491.8,55.0,3.0,47.5,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 25,Lunch,cornmeal crusted tilapia with black beans and salsa,"['salsa', 'tilapia fillet', 'cornmeal', 'paprika', 'salt and pepper', 'olive oil', 'garlic cloves', 'red pepper flakes', 'black beans', 'water']",404.3,41.2,2.0,38.0,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 25,Dinner,couscous encrusted tilapia,"['fresh parsley', 'sun-dried tomato', 'roasted red pepper', 'green olives', 'pine nuts', 'olive oil', 'white wine', 'salt', 'pepper', 'couscous', 'tilapia fillets', 'water', 'lemon']",603.6,49.5,3.0,44.0,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 26,Breakfast,last minute cheddar chicken and noodles,"['vegetable oil', 'boneless skinless chicken breast', 'garlic powder', 'chicken broth', 'egg noodles', 'frozen mixed vegetables', 'cheddar cheese']",617.9,44.0,2.5,44.5,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 26,Lunch,p90x shrimp pasta pomodorolevel iii,"['olive oil', 'garlic', 'fat-free chicken broth', 'tomatoes', 'whole wheat pasta', 'medium shrimp', 'basil leaves']",593.4,46.8,5.0,56.5,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 26,Dinner,cherry pork chops,"['cherry pie filling', 'pork chops']",509.5,35.8,0.0,41.5,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 27,Breakfast,real fried chicken nuggets,"['boneless skinless chicken breasts', 'flour', 'buttermilk pancake mix', 'garlic powder', 'chili powder', 'paprika', 'onion powder', 'salt', 'black pepper', 'eggs']",424.3,49.5,0.5,30.0,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 27,Lunch,easy cheesy chicken breasts,"['chicken breast halves', 'oil', 'cream of broccoli soup', 'milk', 'cheddar cheese', 'rice']",543.5,46.8,0.0,29.0,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 27,Dinner,broccoli  cheese  rice casserole with chicken,"['boneless skinless chicken breasts', 'cream of mushroom soup', 'cream of chicken soup', 'minute rice', 'water', 'frozen broccoli florets', 'cheddar cheese']",651.9,44.0,4.0,48.5,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 28,Breakfast,peppery chicken fried chicken,"['boneless skinned chicken breasts', 'salt', 'fresh ground black pepper', 'saltine crackers', 'all-purpose flour', 'baking powder', 'ground red pepper', 'milk', 'eggs', 'peanut oil']",646.9,55.0,0.5,57.0,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 28,Lunch,quick and dirty 5 ingredient vegan cheeze sauce,"['margarine', 'bisquick', 'almond milk', 'nutritional yeast', 'dijon mustard', 'garlic salt']",571.2,49.5,3.0,45.5,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 28,Dinner,pan roasted salmon with ginger and curry,"['soba noodles', 'fresh ginger', 'curry powder', 'salt and pepper', 'salmon fillets', 'olive oil', 'scallions']",458.5,41.2,1.0,42.0,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 29,Breakfast,grandma s old world german chicken soup   dumplings,"['chicken', 'water', 'hard rolls', 'milk', 'canadian bacon', 'butter', 'onion', 'parsley flakes', 'eggs', 'salt and pepper']",655.4,46.8,3.5,39.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 29,Lunch,herbed white bean and tuna dip,"['garlic', 'white beans', 'albacore tuna in water', 'fresh lemon zest', 'lemon juice', 'fresh thyme leave', 'fresh rosemary leaf', 'coarse salt', 'fresh ground black pepper', 'extra virgin olive oil']",529.4,52.2,0.5,42.5,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 29,Dinner,savory crock pot steak,"['beef eye round', 'flour', 'olive oil', 'onion', 'mexican-style diced tomatoes', 'beef gravy', 'seasoning salt', 'tomato bouillon', 'mexican oregano', 'garlic clove', 'potato starch']",567.0,41.2,3.0,45.5,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 30,Breakfast,deep fried fish in batter  iceland,"['cod', 'flour', 'salt', 'sugar', 'paprika', 'garlic salt', 'pepper', 'beer', 'egg', 'oil']",436.6,44.0,2.5,43.5,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 30,Lunch,giada de laurentiis  white bean and tuna salad,"['tuna in olive oil', 'sea salt', 'black pepper', 'cannellini beans', 'red onion', 'red wine vinegar', 'capers', 'cherry tomatoes', 'fresh basil leaf']",653.3,52.2,5.5,68.5,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 30,Dinner,easy roasted red kidney beans with a kick  vegan,"['red kidney beans', 'olive oil', 'mexican seasoning', 'nutritional yeast']",409.5,52.2,1.0,28.0,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
