Day,Meal,Recipe,Ingredients,Calories,Carbs_g,Sugar_g,Protein_g,Post_Meal_Exercise,Daily_Evening_Workout
Day 6,Lunch,chicken with fettuccine alfredo,"['fettuccine pasta', 'butter', 'boneless skinless chicken breast halves', 'salt and pepper', 'flour', 'onion', 'garlic', 'light cream', 'parmesan cheese', 'parsley', 'red pepper flakes']",670.3,38.5,0.5,37.5,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 6,Dinner,rachael ray s spinach artichoke burgers,"['ground chicken', 'salt & freshly ground black pepper', 'lemon', 'parmigiano-reggiano cheese', 'garlic cloves', 'frozen chopped spinach', 'fresh thyme', 'extra virgin olive oil', 'crusty bread', 'beefsteak tomatoes', 'water-packed artichoke hearts', 'provolone cheese']",611.2,46.8,5.0,53.0,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 7,Breakfast,zesty cheesy crumbed chicken,"['skinless chicken breasts', 'gouda cheese', 'egg', 'all-purpose flour', 'salt', 'black pepper', 'key lime juice', 'whole wheat bread crumbs', 'key lime zest', 'chili pepper flakes']",477.8,35.8,7.0,63.0,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 7,Lunch,easy beans  in rice cooker,"['dry pinto beans', 'water', 'diced tomatoes', 'butter', 'onion', 'salt and pepper']",281.5,46.8,0.0,23.5,Brisk Walk 17 mins after Lunch,Kettlebell Swing x15
Day 7,Dinner,cactus chicken fried steak,"['steaks', 'eggs', 'water', 'unbleached flour', 'vegetable oil', 'milk', 'instant chicken bouillon', 'jalapeno seasoning salt']",575.9,33.0,0.0,60.5,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 8,Breakfast,pheasant nuggets deep fried and delicious,"['pheasant breast', 'eggs', 'milk', 'flour', 'breadcrumbs', 'salt', 'pepper', 'dried oregano', 'dried thyme', 'parsley', 'peanut oil', 'seafood cocktail sauce']",521.5,41.2,3.5,55.0,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 8,Lunch,for pitas sake  parmesan chicken,"['cucumbers', 'broccoli slaw mix', 'red onion', 'olive oil', 'balsamic vinegar', 'garlic powder', 'dried italian seasoning', 'fresh ground black pepper', 'seasoning salt', 'lemon juice', 'parmesan cheese', 'italian seasoned breadcrumbs', 'paprika', 'dried parsley', 'boneless skinless chicken breast', 'whole wheat pita bread', 'laughing cow light swiss cheese']",554.5,38.5,4.5,66.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 8,Dinner,chalupa dinner bowl,"['dried pinto bean', 'pork loin roast', 'green chilies', 'garlic cloves', 'chili powder', 'salt', 'dried oregano', 'ground cumin', 'chicken broth', 'diced tomatoes with green chilies', 'taco salad shells', 'head iceberg lettuce', 'cheese', 'sour cream', 'jalapeno pepper', 'tomatoes', 'avocado']",654.4,35.8,6.0,72.5,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 9,Breakfast,old english posh picnic raised chicken and ham pie,"['plain flour', 'salt', 'butter', 'lard', 'milk', 'water', 'boneless skinless chicken breasts', 'pork sausage', 'pancetta', 'fresh parsley', 'fresh sage leaf', 'fresh thyme leave', 'ground mace', 'allspice', 'lemon, rind of', 'fresh ground black pepper', 'egg', 'vegetables', 'gelatin powder']",686.8,38.5,0.0,29.5,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 9,Lunch,crunchy batter fried fish  no beer,"['cod', 'all-purpose flour', 'cornstarch', 'baking powder', 'club soda', 'salt', 'oil']",389.6,38.5,0.0,44.0,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 9,Dinner,lime garlic beef and pepper stir fry,"['beef roast', 'celery', 'green pepper', 'onion', 'fresh mushrooms', 'garlic powder', 'onion powder', 'soy sauce', 'water', 'lime juice', 'cooked white rice']",417.7,41.2,4.0,42.0,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 10,Breakfast,canned tuna donburi,"['light chunk tuna in water', 'eggs', 'sugar', 'shoyu', 'vegetable oil', 'onions', 'kamaboko', 'nori goma furikake', 'salt and pepper', 'cooked white rice']",571.4,49.5,2.5,57.0,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 10,Lunch,chicken fettuccine with ricotta   basil,"['boneless skinless chicken breasts', 'fresh fettuccine', 'butter', 'ricotta cheese', 'parmesan cheese', 'tomatoes', 'fresh basil leaf']",671.0,44.0,2.5,56.5,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 10,Dinner,french dip sandwiches,"['roast', 'onion soup mix', 'beer', 'hoagie rolls', 'onion', 'green pepper', 'mozzarella cheese']",659.1,35.8,2.5,79.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 11,Breakfast,orecchiette with mini chicken meatballs,"['orecchiette', 'plain breadcrumbs', 'fresh flat-leaf parsley', 'eggs', 'milk', 'ketchup', 'romano cheese', 'salt', 'ground black pepper', 'ground chicken', 'olive oil', 'low sodium chicken broth', 'cherry tomatoes', 'parmesan cheese', 'bocconcini', 'fresh basil leaf']",617.5,46.8,9.5,41.0,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 11,Lunch,vegan gravy,"['nutritional yeast', 'dried parsley', 'salt', 'dried dill weed', 'onion powder', 'dried basil', 'dried thyme', 'dried oregano', 'black pepper', 'unbleached flour', 'soybean oil', 'water', 'tamari', 'mixed spice']",484.2,46.8,3.5,40.5,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 11,Dinner,pan roasted salmon with ginger and curry,"['soba noodles', 'fresh ginger', 'curry powder', 'salt and pepper', 'salmon fillets', 'olive oil', 'scallions']",458.5,41.2,1.0,42.0,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 12,Breakfast,salmon and couscous pie,"['eggs', 'spinach', 'couscous', 'lemon', 'salmon', 'fresh dill', 'puff pastry', 'greek yogurt', 'flour', 'salt and pepper']",634.8,49.5,1.5,30.0,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 12,Lunch,cornish hens with rice pilaf,"['cornish hens', 'brandy', 'poultry seasoning', 'salt and pepper', 'olive oil', 'onion', 'garlic clove', 'chicken broth', 'uncooked rice', 'bay leaf', 'dried thyme', 'fresh tomato', 'frozen green beans']",680.4,41.2,5.5,75.0,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 12,Dinner,fontina topped chicken cutlets with couscous,"['olive oil', 'garlic clove', 'baby spinach', 'italian seasoning', 'roasted red peppers', 'boneless skinless chicken breast halves', 'fontina cheese', 'couscous', 'chicken broth']",637.0,55.0,2.0,51.5,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 13,Breakfast,salmon and noodles,"['egg noodles', 'cottage cheese', 'sour cream', 'onion', 'garlic clove', 'worcestershire sauce', 'tabasco sauce', 'salt', 'salmon', 'cheddar cheese']",684.4,44.0,5.0,46.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 13,Lunch,easy cheesy chicken breasts,"['chicken breast halves', 'oil', 'cream of broccoli soup', 'milk', 'cheddar cheese', 'rice']",543.5,46.8,0.0,29.0,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 13,Dinner,artichoke chicken pasta,"['chicken breast tenders', 'artichoke hearts', 'roasted red pepper', 'white wine', 'american cheese', 'white wine worcestershire sauce', 'cream of chicken soup', 'cheddar cheese', 'cooked bow tie pasta']",639.3,38.5,3.0,51.5,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 14,Breakfast,oven fried chicken and french fries,"['egg', 'egg white', 'dijon mustard', 'melba toast', 'dried thyme', 'dried rosemary', 'dried oregano', 'garlic powder', 'salt', 'ground black pepper', 'cayenne pepper', 'boneless skinless chicken breasts', 'potato', 'cooking spray']",384.3,44.0,3.0,36.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 14,Lunch,broccoli rice and chicken,"['chicken tenders', 'converted rice', 'cream of broccoli soup mix', 'chicken broth', 'pepper']",482.7,41.2,0.5,58.5,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 14,Dinner,spanish chicken  rice   sausage,"['boneless skinless chicken breasts', 'onions', 'garlic', 'green peppers', 'low-fat kielbasa', 'water', 'low-sodium instant chicken bouillon granules', 'curry powder', 'hungarian paprika', 'basil leaves', 'sliced mushrooms', 'long-grain white rice', 'frozen green peas']",382.5,44.0,9.5,39.0,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 15,Breakfast,ww fish and chips,"['fat-free buttermilk', 'fish fillets', 'potatoes', 'paprika', 'salt', 'pepper', 'cornmeal', 'old bay seasoning', 'egg whites', 'fat-free mayonnaise', 'scallion', 'pickle', 'lemon juice']",409.8,44.0,6.0,45.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 15,Lunch,restaurant style fried catfish,"['catfish fillets', 'salt', 'milk', 'yellow cornmeal', 'seasoning salt', 'ground black pepper', 'cayenne pepper', 'onion powder', 'garlic powder', 'peanut oil', 'lemon wedge', 'tartar sauce']",645.3,49.5,1.0,47.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 15,Dinner,chicken alfredo bake,"['boneless skinless chicken breasts', 'penne pasta', 'frozen broccoli', 'mozzarella cheese', 'alfredo sauce', 'salt and pepper']",504.9,49.5,1.5,40.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 16,Breakfast,savory panko crusted salmon,"['salmon fillets', 'panko breadcrumbs', 'garlic powder', 'onion powder', 'paprika', 'black pepper', 'salt', 'cooking spray', 'egg', 'milk', 'pepper']",665.5,35.8,7.0,76.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 16,Lunch,shrimp melts,"['italian bread', 'shrimp', 'salsa', 'avocados', 'monterey jack cheese']",635.7,44.0,6.0,37.5,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 16,Dinner,healthy citrus baked salmon,"['brown rice', 'lemons', 'oranges', 'salmon fillets', 'fresh dill', 'sun-dried tomato packed in oil', 'oil', 'dry white wine']",599.8,35.8,1.5,67.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 17,Breakfast,spirals with chicken artichoke wine sauce,"['whole wheat spiral pasta', 'olive oil', 'chicken breast tenders', 'garlic cloves', 'white wine', 'salt', 'fresh ground black pepper', 'artichokes', 'parmigiano-reggiano cheese', 'fresh basil']",478.4,52.2,0.0,41.5,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 17,Lunch,even easier chicken broccoli  or spinach alfredo,"['alfredo sauce', 'half & half light cream', 'fresh garlic cloves', 'olive oil', 'cooked chicken breast', 'parmesan cheese', 'cooked penne', 'fresh broccoli florets', 'salt', 'fresh coarse ground black pepper']",644.8,38.5,0.5,54.0,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 17,Dinner,country style baked ham and potatoes,"['smoked ham', 'prepared mustard', 'potatoes', 'onions', 'butter', 'salt', 'black pepper', 'chicken broth', 'half-and-half', 'sharp cheddar cheese', 'fresh parsley']",609.2,41.2,8.5,43.0,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 18,Breakfast,italian spaghetti with ham,"['cooked ham', 'garlic', 'butter', 'thin spaghetti', 'parmesan cheese', 'parsley', 'eggs', 'black olives', 'salt and pepper']",543.1,35.8,0.5,39.0,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 18,Lunch,fish and chips alton brown,"['flour', 'baking powder', 'kosher salt', 'cayenne pepper', 'old bay seasoning', 'beer', 'tilapia fillets', 'cornstarch']",431.4,46.8,0.0,41.0,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 18,Dinner,pork chop  onion  and rice casserole,"['pork chops', 'oil', 'dry onion soup mix', 'frozen mixed vegetables', 'uncooked rice', 'beef broth']",646.9,46.8,0.5,48.0,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 19,Breakfast,last minute cheddar chicken and noodles,"['vegetable oil', 'boneless skinless chicken breast', 'garlic powder', 'chicken broth', 'egg noodles', 'frozen mixed vegetables', 'cheddar cheese']",617.9,44.0,2.5,44.5,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 19,Lunch,chipotle and buttermilk fried chicken fingers,"['vegetable oil', 'chicken tenderloins', 'buttermilk', ""frank's red hot sauce"", 'self-rising flour', 'dried chipotle powder', 'salt', 'cracked black pepper']",584.3,33.0,6.5,85.5,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 19,Dinner,broccoli  chicken and rice casserole,"['condensed cream of chicken soup', 'quick-cooking rice', 'chicken breasts', 'broccoli', 'french-fried onions', 'milk', 'garlic powder']",598.5,49.5,3.0,39.5,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 20,Breakfast,captain d s batter dipped fish,"['pollock fillets', 'flour', 'dry yeast', 'egg', 'beer', 'hot water', 'salt', 'black pepper', 'cayenne pepper']",430.8,35.8,0.0,51.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 20,Lunch,chinese 5 spice turkey tenderloin,"['chinese five spice powder', 'soy sauce', 'fat free chicken broth', 'water', 'leek', 'ginger', 'green pepper', 'turkey breast tenderloins', 'garlic cloves', 'stir fry vegetables', 'wild rice']",428.8,49.5,7.0,49.0,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 20,Dinner,marlboro country chicken fried steak  country fried,"['round steaks', 'evaporated milk', 'tabasco jalapeno sauce', 'salt', 'all-purpose flour', 'paprika', 'garlic powder', 'cracked pepper', 'vegetable oil', 'flour', 'milk', 'salt and pepper']",688.8,35.8,0.0,56.0,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 21,Breakfast,wisconsin beer batter for fish,"['beer', 'egg', 'pancake mix', 'fish fillet', 'oil']",478.0,44.0,0.0,43.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 21,Lunch,something different chicken,"['water', 'couscous', 'butter', 'flour', 'seasoning salt', 'chicken cutlet', 'capers', 'lemon, juice of']",575.7,44.0,0.0,43.0,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 21,Dinner,crock pot golden mushroom roast,"['fresh mushrooms', 'potatoes', 'golden cream of mushroom soup', 'onion soup mix', 'beef roast', 'salt', 'cracked black pepper']",584.8,41.2,6.0,72.0,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 22,Breakfast,parmesan potato crusted chicken with orzo caprese salad,"['boneless skinless chicken breast halves', 'instant potato flakes', 'parmesan cheese', 'garlic powder', 'dried oregano', 'salt', 'pepper', 'eggs', 'cooking oil', 'orzo pasta', 'fresh mozzarella cheese', 'sun-dried tomato packed in oil', 'basil', 'garlic', 'tomatoes']",601.9,46.8,7.0,48.0,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 22,Lunch,tuna spaghetti for one or two,"['whole wheat spaghetti', ""i can't believe it's not butter fat free"", 'garlic salt', 'onion powder', 'italian seasoning', 'parmesan cheese', 'black pepper', 'tuna in water', 'mozzarella cheese', 'frozen peas']",546.0,44.0,3.5,59.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 22,Dinner,crunchy curry chicken,"['boneless skinless chicken breasts', 'all-purpose flour', 'warm water', 'curry powder', 'white vinegar', 'salt and pepper', 'vegetable oil', 'lime juice']",410.3,30.2,0.0,56.5,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 23,Breakfast,crispy tilapia,"['tilapia fillets', 'flour', 'egg', 'buttermilk', 'yellow cornmeal', 'salt', 'pepper', 'baking soda', 'baking powder', 'old bay seasoning', 'canola oil']",507.3,30.2,3.0,74.5,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 23,Lunch,pork burritos,"['vegetable oil', 'pork tenderloin', 'diced tomatoes with mild green chilies', 'refried beans', 'flour tortillas', 'cheddar cheese']",613.2,46.8,3.0,42.5,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 23,Dinner,spiced lamb kebabs,"['lean lamb', 'lemon juice', 'garlic cloves', 'fresh ground black pepper', 'sea salt', 'dried rosemary', 'sage', 'onions', 'sweet green peppers', 'water', 'cooked couscous']",500.1,38.5,6.5,48.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 24,Breakfast,fried lemon rosemary tilapia,"['lemon', 'milk', 'eggs', 'fresh rosemary', 'fresh garlic', 'tilapia fillets', 'yellow cornmeal', 'extra virgin olive oil', 'lemon slice']",515.3,46.8,2.0,33.5,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 24,Lunch,hamburger and kidney beans,"['lean ground beef', 'dark red kidney beans', 'salt', 'pepper', 'garlic salt']",587.4,46.8,1.0,53.5,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 24,Dinner,pork chops over parmesan rice with peas,"['boneless pork chops', 'salt and pepper', 'flour', 'vegetable oil', 'long grain rice', 'chicken broth', 'water', 'minced garlic cloves', 'salt', 'dried thyme', 'frozen peas', 'parmesan cheese', 'black pepper']",642.9,49.5,8.0,54.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 25,Breakfast,country fried meatloaf sandwich,"['egg', 'milk', 'self-rising flour', 'ground black pepper', 'seasoning salt', 'meatloaf', 'canola oil', 'lettuce', 'tomatoes', 'bread']",668.6,30.2,0.5,56.5,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 25,Lunch,p90x shrimp pasta pomodorolevel iii,"['olive oil', 'garlic', 'fat-free chicken broth', 'tomatoes', 'whole wheat pasta', 'medium shrimp', 'basil leaves']",593.4,46.8,5.0,56.5,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 25,Dinner,simply slow cooker pot roast,"['pork roast', 'garlic clove', 'onion', 'bell pepper', 'potatoes', 'water', 'lemon juice']",662.7,38.5,7.5,79.5,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 26,Breakfast,crock pot chicken veggie melange,"['boneless skinless chicken breasts', 'russet potatoes', 'carrots', 'celery ribs', 'lipton onion soup mix', 'water', 'evaporated milk', 'flour']",503.0,44.0,8.5,55.5,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 26,Lunch,salmon fillets with dill couscous and spicy kale,"['olive oil', 'red onion', 'kale', 'crushed red pepper flakes', 'salt & freshly ground black pepper', 'nutmeg', 'chicken stock', 'radishes', 'lemon', 'salmon fillets', 'old bay seasoning', 'butter', 'couscous', 'fresh dill', 'english cucumber']",680.1,52.2,7.5,58.0,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 26,Dinner,oven baked fish and chips,"['potatoes', 'olive oil', 'fresh white breadcrumbs', 'cornmeal', 'paprika', 'haddock fillets', 'flour', 'salt and pepper', 'egg white', 'nonstick cooking spray']",463.6,52.2,5.0,40.5,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 27,Breakfast,best ever chicken noodle soup,"['chicken', 'carrot', 'dried celery flakes', 'seasoning', 'chicken bouillon cubes', 'wide egg noodles', 'water']",631.0,49.5,4.0,39.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
Day 27,Lunch,sea bass with lemon caper fettuccine,"['olive oil', 'fresh lemon juice', 'capers', 'cayenne', 'fresh parsley leaves', 'fettuccine', 'sea bass', 'vegetable oil']",526.3,35.8,2.0,39.5,Brisk Walk 20 mins after Lunch,Dumbbell Deadlift x12
Day 27,Dinner,easy parmesan garlic chicken and pasta,"['kraft 100% grated parmesan cheese', 'italian salad dressing mix', 'garlic powder', 'boneless skinless chicken breast halves', 'rotini pasta', 'roasted tomato and garlic pasta sauce', 'fresh basil']",364.3,41.2,2.0,35.5,Brisk Walk 20 mins after Dinner,Dumbbell Deadlift x12
Day 28,Breakfast,herbed  chicken  fingers,"['chicken breasts', 'pancake mix', 'salt', 'dry mustard', 'thyme', 'tarragon', 'sage', 'milk', 'hot pepper sauce', 'vegetable oil']",548.9,44.0,0.0,39.5,Brisk Walk 20 mins after Breakfast,Kettlebell Swing x15
Day 28,Lunch,fish with salsa and olives,"['couscous', 'flour', 'salt', 'fish fillets', 'olive oil', 'salsa', 'green olives']",517.0,55.0,3.5,51.5,Brisk Walk 20 mins after Lunch,Kettlebell Swing x15
Day 28,Dinner,cherry pork chops,"['cherry pie filling', 'pork chops']",509.5,35.8,0.0,41.5,Brisk Walk 20 mins after Dinner,Kettlebell Swing x15
Day 29,Breakfast,kabbilow  cod and horseradish,"['cod fish fillets', 'horseradish', 'parsley', 'potatoes', 'hard-boiled egg', 'paprika', 'flour', 'milk', 'unsalted butter', 'salt and pepper']",483.8,46.8,4.0,39.0,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 29,Lunch,golden chicken nuggets,"['boneless skinless chicken breasts', 'milk', 'all-purpose flour', 'cajun seasoning', 'vegetable oil']",468.4,33.0,0.0,55.0,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 29,Dinner,middle eastern lamb stew,"['butter', 'scallions', 'parsley', 'lean lamb', 'chicken broth', 'fresh lemon juice', 'ground coriander', 'red kidney beans', 'salt', 'fresh ground black pepper']",519.3,35.8,4.0,49.5,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 30,Breakfast,rolled chicken n dumplins,"['chicken', 'shortening', 'water', 'salt & pepper', 'chicken bouillon cubes', 'flour', 'baking powder', 'egg', 'salt', 'bacon grease', 'milk']",609.3,44.0,1.0,34.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 30,Lunch,spice rubbed pork with quinoa,"['smoked paprika', 'red pepper flakes', 'ground cumin', 'kosher salt', 'pork tenderloin', 'olive oil', 'quinoa', 'frozen corn', 'scallions', 'fresh ground black pepper', 'salsa verde']",554.0,35.8,0.5,60.5,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
